iter	Passed	Remaining
0	0	81
1	1	75
2	2	72
3	2	67
4	3	67
5	4	66
6	4	66
7	5	65
8	6	65
9	7	64
10	7	63
11	8	63
12	9	62
13	10	61
14	10	61
15	11	60
16	12	59
17	12	58
18	13	58
19	14	57
20	15	56
21	15	55
22	16	55
23	17	54
24	17	53
25	18	53
26	19	52
27	20	51
28	20	51
29	21	50
30	22	49
31	23	48
32	23	48
33	24	47
34	25	46
35	25	45
36	26	45
37	27	44
38	28	43
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	26
61	42	26
62	43	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	46	21
69	47	20
70	48	19
71	48	18
72	49	18
73	49	17
74	50	16
75	50	16
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	54	11
83	55	10
84	55	9
85	56	9
86	56	8
87	57	7
88	57	7
89	58	6
90	58	5
91	59	5
92	60	4
93	60	3
94	61	3
95	61	2
96	62	1
97	62	1
98	63	0
99	63	0
